team,Avg_AST,Avg_BLK,Avg_STL,Avg_TOV,Avg_TOV_team,Avg_F_tech,Avg_F_personal,Avg_largest_lead,Avg_FGP_2,Avg_FGP_3,Avg_FT_Percentage,Avg_Total_Rebounds,Total_Wins,Total_Matches,Region
life_university_running_eagles,6.0,2.0,3.5,18.5,1.5,0.0,15.5,0.5,32.306830907054874,26.244343891402714,60.434782608695656,41.5,0,2,East
lindenwood_lions,9.0,1.0,5.0,29.0,0.0,0.0,18.0,0.0,30.434782608695656,19.047619047619047,36.36363636363637,25.0,0,1,East
lipscomb_bisons,10.766666666666667,3.2666666666666666,5.033333333333333,15.5,0.8333333333333334,0.16666666666666666,17.533333333333335,8.866666666666667,43.465666455681806,32.3360114036637,72.88521474512187,35.36666666666667,10,30,East
lock_haven_university_bald_eagles,13.0,2.0,7.0,28.0,2.0,0.0,10.0,0.0,43.75,35.714285714285715,45.45454545454545,29.0,0,1,East
long_island_university_sharks,10.62962962962963,3.7777777777777777,8.481481481481481,17.51851851851852,0.48148148148148145,0.037037037037037035,18.666666666666668,6.0,37.13554911601884,31.474087203486008,60.87314192706349,36.407407407407405,9,27,East
longwood_lancers,14.21875,4.875,10.34375,17.125,0.625,0.03125,18.0,15.5625,47.86265249991536,30.126440362154604,74.26783537525016,36.5625,21,32,East
louisiana_christian_university_wildcats,10.0,4.0,9.0,31.0,0.0,0.0,21.0,6.0,33.33333333333333,13.636363636363635,70.0,39.0,0,1,East
louisiana_christian_wildcats,7.0,0.0,7.0,19.0,0.0,0.0,29.0,3.0,42.10526315789473,30.0,68.18181818181817,33.0,0,1,East
loyola_maryland_greyhounds,11.206896551724139,0.8620689655172413,6.586206896551724,16.275862068965516,1.3793103448275863,0.034482758620689655,15.827586206896552,5.172413793103448,41.47911043314396,30.524037084702183,72.50998005202172,32.48275862068966,5,29,East
loyola_marymount_lions,12.137931034482758,2.2758620689655173,7.551724137931035,18.344827586206897,1.0689655172413792,0.06896551724137931,15.413793103448276,6.620689655172414,45.19768271516591,26.991326559422518,69.61262273254303,33.58620689655172,10,29,East
loyola_new_orleans_wolfpack,7.0,2.0,9.0,20.0,0.0,0.0,16.0,4.0,39.02439024390244,0.0,63.1578947368421,41.0,0,1,East
lsu_alexandria_generals,15.0,0.0,10.0,24.0,1.0,0.0,12.0,0.0,26.31578947368421,36.0,25.0,30.0,0,1,East
lsu_shreveport_pilots,7.0,2.6666666666666665,5.666666666666667,26.333333333333332,0.3333333333333333,2.0,15.666666666666666,1.3333333333333333,30.00079649542015,25.63178780284043,70.91880341880342,26.333333333333332,0,3,East
maine_black_bears,14.483870967741936,2.7096774193548385,8.709677419354838,13.35483870967742,0.6774193548387096,0.03225806451612903,15.419354838709678,12.806451612903226,47.92342356871103,29.351229025008845,68.70877119928353,32.54838709677419,20,31,East
manchester_spartans,7.0,0.0,3.0,34.0,3.0,0.0,10.0,5.0,26.08695652173913,37.5,62.5,27.0,0,1,East
manhattan_jaspers,12.0625,3.1875,7.90625,17.875,0.5625,0.0625,15.5,12.65625,44.54920352866179,27.61763919370091,71.39787237335979,43.625,21,32,East
mansfield_mountaineers,4.0,1.0,8.0,25.0,2.0,0.0,18.0,0.0,28.947368421052634,15.384615384615385,60.71428571428571,26.0,0,1,East
marist_red_foxes,11.0,3.4827586206896552,8.413793103448276,15.517241379310345,0.8620689655172413,0.06896551724137931,13.137931034482758,7.206896551724138,39.0287401030999,24.728424170241105,66.2651310825753,33.44827586206897,8,29,East
mars_hill_mountain_lions,7.666666666666667,1.0,7.333333333333333,23.666666666666668,1.3333333333333333,0.0,13.333333333333334,0.3333333333333333,35.33713200379867,27.21956406166932,60.84656084656084,25.0,0,3,East
maryland_eastern_shore_hawks,12.48,2.64,7.64,16.4,0.48,0.12,20.16,12.583333333333334,42.639255072575445,26.69252300735872,63.60878718729708,42.64,11,25,East
maryland_terrapins,15.586206896551724,3.1724137931034484,9.310344827586206,12.96551724137931,0.1724137931034483,0.2413793103448276,15.275862068965518,18.96551724137931,46.384406189725716,34.5659543109775,75.39927561453757,39.275862068965516,21,29,East
massachusetts_minutewomen,14.5625,2.6875,7.71875,13.46875,0.375,0.03125,14.625,15.75,49.03405710837171,32.43830769952535,69.30232336999946,40.53125,26,32,East
mayville_st_comets,12.0,9.0,6.0,17.0,2.0,0.0,16.0,6.0,39.02439024390244,23.076923076923077,68.18181818181817,51.0,0,1,East
mcmurry_war_hawks,7.0,1.0,7.0,25.0,2.0,0.0,12.0,2.0,26.08695652173913,30.0,35.714285714285715,17.0,0,1,East
mcneese_cowgirls,14.25,1.9642857142857142,9.607142857142858,18.928571428571427,0.42857142857142855,0.17857142857142858,20.035714285714285,13.035714285714286,45.36134878409248,30.844608009651754,71.20674139739656,40.535714285714285,13,28,East
mercyhurst_lakers,10.0,0.0,7.0,27.0,2.0,0.0,27.0,2.0,33.33333333333333,27.27272727272727,62.5,27.0,0,1,East
merrimack_warriors,13.461538461538462,1.9230769230769231,6.615384615384615,17.192307692307693,1.0384615384615385,0.07692307692307693,16.0,8.884615384615385,44.71326306059841,32.5410248406614,62.939221325631905,35.88461538461539,9,26,East
miami_oh_redhawks,13.551724137931034,2.689655172413793,9.689655172413794,17.79310344827586,0.3793103448275862,0.034482758620689655,20.862068965517242,6.379310344827586,45.80898352549352,28.869930687707942,73.84645612800306,37.03448275862069,8,29,East
mid_atlantic_christian_mustangs,7.0,0.0,4.0,31.0,2.0,0.0,16.0,0.0,34.61538461538461,23.809523809523807,71.42857142857143,27.0,0,1,East
midway_university_midway,8.0,4.0,10.0,33.0,0.0,0.0,15.0,3.0,40.74074074074074,27.27272727272727,81.25,39.0,0,1,East
millersville_marauders,6.5,0.0,6.0,28.0,0.5,0.5,26.0,0.0,26.008403361344534,17.692307692307693,85.64102564102564,27.0,0,2,East
milwaukee_panthers,13.413793103448276,3.3448275862068964,7.379310344827586,16.79310344827586,0.7586206896551724,0.0,16.448275862068964,9.931034482758621,45.70142333512808,29.09781602849486,77.99555813805307,35.41379310344828,13,29,East
minnesota_golden_gophers,13.833333333333334,3.3333333333333335,6.4,14.5,0.6,0.06666666666666667,16.466666666666665,9.866666666666667,42.58460072275113,37.32070597073206,74.53420244460425,36.8,13,30,East
minnesota_morris_cougars,6.0,2.0,4.0,22.0,0.0,0.0,18.0,0.0,44.827586206896555,21.052631578947366,65.38461538461539,32.0,0,1,East
mississippi_state_bulldogs,13.392857142857142,5.214285714285714,9.178571428571429,11.821428571428571,0.7142857142857143,0.07142857142857142,14.678571428571429,13.5,47.925302314433104,33.20561502784001,63.450186638512875,35.607142857142854,14,28,East
mississippi_valley_state_devilettes,12.681818181818182,1.9545454545454546,9.636363636363637,19.181818181818183,0.7727272727272727,0.09090909090909091,21.318181818181817,5.2272727272727275,36.00848282538896,29.189736037774743,62.99939787770035,39.18181818181818,3,22,East
