team,Avg_AST,Avg_BLK,Avg_STL,Avg_TOV,Avg_TOV_team,Avg_F_tech,Avg_F_personal,Avg_largest_lead,Avg_FGP_2,Avg_FGP_3,Avg_FT_Percentage,Avg_Total_Rebounds,Total_Wins,Total_Matches,Region,Ranking_Score,Predicted_Ranking_Score,Rank
troy_trojans,14.870967741935484,4.870967741935484,10.741935483870968,16.870967741935484,0.1290322580645161,0.3225806451612903,19.096774193548388,18.06451612903226,42.75430776173136,25.995974179395517,72.54728525195658,51.03225806451613,24,31,North,18.0,14.128095,14
georgia_tech_yellow_jackets,15.32258064516129,4.354838709677419,5.935483870967742,13.96774193548387,0.5483870967741935,0.064516129032258,13.32258064516129,16.419354838709676,44.59501519211067,30.331874242065997,67.87352601569121,38.935483870967744,21,31,North,13.78125,13.789082,15
florida_gators,12.612903225806452,3.3870967741935485,8.870967741935484,16.806451612903224,0.4516129032258064,0.1612903225806451,19.516129032258064,12.483870967741936,44.966673293955154,30.237748134107864,73.3577801177286,39.32258064516129,21,31,North,13.78125,13.751335,16
south_carolina_upstate_spartans,13.555555555555555,2.333333333333333,8.148148148148149,14.962962962962964,0.7407407407407407,0.0,15.962962962962964,17.074074074074073,51.54113127999133,34.73760280158629,68.26718559731826,32.44444444444444,19,27,North,12.892857142857144,12.888055,17
tennessee_tech_golden_eagles,14.266666666666667,3.466666666666667,6.733333333333333,15.0,0.8,0.0,14.633333333333333,13.6,48.77582588598602,31.767104282338305,70.5962851926121,36.43333333333333,20,30,North,12.903225806451612,12.877626,18
south_florida_bulls,14.387096774193548,3.5161290322580645,6.709677419354839,14.580645161290322,1.1935483870967742,0.1935483870967742,15.129032258064516,13.548387096774194,42.568508544967855,29.751644577330964,71.7234699299346,40.74193548387097,24,31,North,18.0,12.858082,19
stetson_hatters,12.483870967741936,1.7419354838709675,9.161290322580646,16.870967741935484,0.6774193548387096,0.0,15.516129032258064,16.451612903225808,46.52875243335981,28.39342707278304,69.50172549747016,38.193548387096776,20,31,North,12.5,12.567057,20
tulane_green_wave,15.285714285714286,3.892857142857143,6.535714285714286,15.071428571428571,0.8928571428571429,0.2142857142857142,14.607142857142858,12.035714285714286,45.53875537172467,30.198194192823102,75.14837881508971,42.96428571428572,19,28,North,12.448275862068964,12.449085,21
georgia_lady_bulldogs,16.321428571428573,6.214285714285714,8.571428571428571,16.107142857142858,0.5714285714285714,0.1428571428571428,14.964285714285714,17.142857142857142,46.11904486491814,31.350559163059163,73.90015381035731,40.535714285714285,19,28,North,12.448275862068964,12.446972,22
miami_hurricanes,13.258064516129032,3.2580645161290325,9.290322580645162,16.64516129032258,0.5483870967741935,0.0967741935483871,17.35483870967742,11.806451612903226,44.662225309137526,30.302880490806523,69.29243432089733,36.2258064516129,19,31,North,11.28125,11.267585,23
